recno,T17ID,oldID,RAJ2000,DEJ2000,Prob,Rgc,PA,umag,gmag,rmag,imag,zmag,e_umag,s_umag,e_gmag,s_gmag,e_rmag,s_rmag,e_imag,s_imag,e_zmag,s_zmag
2269,T17-2269," ",201.97104166666665,-41.46527222222222,0.32,100.07,27.49,22.68,21.29,20.73,20.33,20.32,0.03,0.1,0.02,0.07,0.02,0.1,0.02,0.06,0.02,0.07
2314,T17-2314," ",202.0694583333333,-41.485811111111104,1.0,101.24,31.52,23.34,21.64,21.06,20.46,20.41,0.04,0.13,0.03,0.09,0.02,0.11,0.02,0.06,0.02,0.07
2320,T17-2320," ",202.07816666666665,-41.47105555555555,1.0,102.26,31.58,21.31,19.84,19.37,18.95,18.93,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2300,T17-2300," ",202.04587499999997,-41.44817222222222,0.33,102.73,30.04,21.57,20.11,19.48,19.13,19.08,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.03,0.01,0.04
2276,T17-2276," ",201.98654166666662,-41.426899999999996,1.0,102.55,27.5,22.95,21.06,20.33,19.84,19.83,0.03,0.11,0.02,0.06,0.01,0.09,0.01,0.04,0.02,0.05
2234,T17-2234," ",201.9085833333333,-41.47203333333333,1.0,98.39,25.12,22.88,21.32,20.81,20.34,20.26,0.03,0.11,0.02,0.07,0.02,0.1,0.02,0.06,0.02,0.07
2229,T17-2229," ",201.90466666666663,-41.46714166666666,1.0,98.59,24.89,22.74,21.12,20.49,19.98,19.93,0.03,0.1,0.02,0.06,0.02,0.09,0.01,0.04,0.02,0.05
2192,T17-2192," ",201.86454166666664,-41.396525,1.0,101.86,22.31,22.65,21.11,20.5,19.89,19.89,0.03,0.1,0.02,0.06,0.02,0.09,0.01,0.04,0.02,0.05
2166,T17-2166," ",201.81079166666663,-41.40190555555555,1.0,100.65,20.18,24.08,22.77,22.0,21.47,21.27,0.09,0.19,0.08,0.17,0.05,0.14,0.05,0.13,0.05,0.13
2049,T17-2049," ",201.63454166666665,-41.49615277777777,1.0,92.8,13.29,23.06,21.83,21.01,20.4,20.42,0.03,0.12,0.03,0.11,0.02,0.11,0.02,0.06,0.02,0.08
