source_id,filter,ra,dec,x,y,flux,flux_err,mag,mag_err,snr,aper_radius_arcsec,aper_radius_pixels
T17-2705,F515,202.8905833333333,-45.24278055555555,5468.025708783628,2770.308672630376,2.3502350066817272,0.7490986727445686,23.422221773041752,0.3460605205959225,3.13741712833487,3.0,5.454545454545454
T17-2698,F515,202.87666666666664,-45.204158333333325,5532.186945224955,3023.120756188098,3.0317601150191544,0.7470047061122691,23.145762911990595,0.26751788524854075,4.058555575637169,3.0,5.454545454545454
T17-2650,F515,202.7894583333333,-45.18022499999999,5934.56618992432,3179.5291925180923,2.5750718060015716,0.7470808662109029,23.323026640328386,0.31499422363165996,3.4468448095344772,3.0,5.454545454545454
T17-2699,F515,202.87791666666664,-45.07733333333333,5526.481676166788,3853.273907843915,7.01996938736159,0.8292207429743031,22.234161954336788,0.12825055676232996,8.46574262262411,3.0,5.454545454545454
T17-2701,F515,202.88166666666663,-45.03136944444444,5509.156421016974,4154.134104249539,3.4898715528136366,0.8700588852173463,22.99297639315422,0.27068458470638057,4.011075126187401,3.0,5.454545454545454
T17-2799,F515,203.07616666666664,-44.86649166666666,4606.876654576474,5232.2826021067085,8.090090304155803,0.7380021585994524,22.080116576569544,0.0990440937809395,10.962149920413262,3.0,5.454545454545454
T17-2544,F515,202.5755,-45.12152777777777,6923.196712402623,3561.2816991880236,13.04342257391478,0.7483903161227102,21.56152108862435,0.062296108011544137,17.42863622486546,3.0,5.454545454545454
T17-2534,F515,202.550125,-45.09203888888888,7041.1861814469285,3753.839339068995,7.242516871945451,0.7515664552012031,22.20027621100975,0.11266841694971215,9.636562172012512,3.0,5.454545454545454
T17-2851,F515,203.2354583333333,-44.53261666666666,3858.4440646903277,7415.188001161626,5.058457604170034,0.7409115852838776,22.58995471388445,0.1590276316646987,6.827343106305868,3.0,5.454545454545454
T17-2911,F515,203.431125,-44.43034722222222,2940.940692553032,8079.588919258023,5.423345721472165,0.7452567731321199,22.514331774389007,0.14919798625913788,7.277150529849272,3.0,5.454545454545454
T17-2369,F515,202.1655833333333,-45.22046666666666,8810.742562482288,2901.640892480715,2.6409173249486697,0.7654099354755171,23.295612985888972,0.31467599177626854,3.4503306039631934,3.0,5.454545454545454
T17-2361,F515,202.15366666666665,-44.91257777777777,8883.79194209341,4916.461404667702,6.357708532183317,0.7558422962880196,22.34174846526119,0.12907879340697048,8.411422016743904,3.0,5.454545454545454
T17-2415,F515,202.268,-44.65770555555555,8366.43233885057,6589.115036860374,2.57050672434461,0.7294620644359742,23.324953139245395,0.30811176872438567,3.523838798021863,3.0,5.454545454545454
T17-2211,F515,201.884625,-44.59801944444444,10156.292671976567,6962.111261136137,4.5159623819231545,0.7500568982274681,22.713124211039087,0.18033009603754566,6.020826410096702,3.0,5.454545454545454
T17-2285,F515,202.009125,-44.43600833333333,9587.404636684765,8029.2431507954125,3.6253460549875536,0.742860483987106,22.95162632956116,0.2224754576019962,4.880251585774859,3.0,5.454545454545454
T17-2264,F515,201.964375,-44.368872222222215,9801.541033671914,8466.411623462947,2.335104914738104,0.7456230416416754,23.4292340052305,0.34668674897763263,3.131749938409612,3.0,5.454545454545454
T17-2522,F515,202.5153333333333,-44.965172222222215,7205.722327248891,4583.552512526937,5.850834606015779,0.7520553506564736,22.43195544636136,0.13955850355951796,7.779792539084458,3.0,5.454545454545454
T17-2602,F515,202.66904166666663,-44.78695555555555,6496.951114368177,5752.623417155116,5.580265688956228,0.7318343653287408,22.483362807091257,0.14239090226405063,7.625039152745398,3.0,5.454545454545454
T17-2687,F515,202.8525,-44.69895277777777,5644.913177304881,6329.931642601277,2.772077685650234,0.7320690685804822,23.242986507682627,0.2867285777220024,3.786634082253234,3.0,5.454545454545454
T17-2636,F515,202.76266666666663,-44.73402777777777,6062.530023071589,6099.958143487416,4.161189218798772,0.7321845553215792,22.801956338484608,0.19104136785850231,5.683251836650879,3.0,5.454545454545454
T17-2743,F515,202.97479166666665,-44.56320555555555,5074.943470692578,7218.260815741944,5.19627383898348,0.729546902898404,22.560769925162973,0.15243528537766868,7.122604205897243,3.0,5.454545454545454
T17-2644,F515,202.7775833333333,-44.61924722222221,5994.152207946753,6851.351221500715,2.1973661312855413,0.7300556402668493,23.49524393422469,0.3607263390657008,3.009861180556542,3.0,5.454545454545454
T17-2647,F515,202.78704166666665,-44.5450611111111,5950.663424473814,7336.996698320316,2.2677664976816962,0.7320520447828904,23.461004162354563,0.3504837952234199,3.0978214101625285,3.0,5.454545454545454
T17-2726,F515,202.9279583333333,-44.46597499999999,5293.00623035706,7854.878808590145,5.366056601841068,0.7334416945412453,22.525861876617526,0.14840026129604522,7.31626882106483,3.0,5.454545454545454
T17-2533,F515,202.5444583333333,-44.564052777777775,7081.799129815838,7209.664347929833,4.515328849287482,0.7289836426933011,22.713276536836798,0.17528821487132148,6.194005715416549,3.0,5.454545454545454
T17-2731,F515,202.9363333333333,-44.41698333333333,5253.676088783398,8175.5428411928915,10.761111558203897,0.8265000686038873,21.770357165851316,0.08338925238947098,13.020097598275365,3.0,5.454545454545454
T17-2679,F515,202.8288333333333,-44.361913888888886,5756.5155164932585,8536.011138284668,2.531302021811199,0.7323462406466608,23.34164008497017,0.3141208836548291,3.4564279589611364,3.0,5.454545454545454
T17-2856,F515,203.2530833333333,-44.44150277777777,3773.494848578216,8011.228031290879,6.674071252574963,0.7420269759761323,22.289022902790517,0.12071275870985745,8.994378194667734,3.0,5.454545454545454
