# id redshift F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
T17-2451 1.825000e-03 8.738013e-06 4.369006e-06 1.387990e-05 6.939949e-06 1.351071e-06 6.755356e-07 1.176759e-05 5.883797e-06 1.466781e-05 6.003892e-06 2.708397e-05 2.800459e-06 2.827076e-05 7.517075e-06
T17-2519 1.825000e-03 1.341990e-05 5.101149e-06 3.159636e-05 9.176455e-06 2.474702e-05 7.770630e-06 4.632291e-05 6.996878e-06 1.054528e-04 5.697486e-06 1.871323e-04 2.836840e-06 2.821363e-04 8.599635e-06
T17-2520 1.825000e-03 5.900148e-05 6.217773e-06 5.605369e-05 1.004448e-05 9.606125e-05 8.383945e-06 1.004269e-04 6.227389e-06 1.685984e-04 6.071845e-06 2.428208e-04 4.302968e-06 2.799802e-04 9.392381e-06
T17-2230 1.825000e-03 1.270959e-05 5.853796e-06 1.235680e-05 6.178401e-06 6.536549e-06 3.268274e-06 2.571627e-05 8.085364e-06 5.669626e-05 5.756740e-06 9.588332e-05 3.216289e-06 1.585456e-04 9.149285e-06
T17-2273 1.825000e-03 1.192965e-05 5.602178e-06 1.554430e-05 7.772151e-06 8.886449e-06 4.443224e-06 2.208785e-05 6.026330e-06 2.263328e-05 5.129659e-06 4.402513e-05 2.876930e-06 4.527680e-05 7.969897e-06
T17-2309 1.825000e-03 6.918194e-06 3.459097e-06 1.144867e-05 5.724334e-06 7.859789e-06 3.929894e-06 7.761676e-06 3.880838e-06 1.371796e-05 5.400871e-06 2.867367e-05 2.860782e-06 4.522647e-05 7.779842e-06
T17-2272 1.825000e-03 8.170872e-06 4.085436e-06 2.018167e-05 1.008068e-05 1.899904e-05 7.312358e-06 1.740856e-05 7.211718e-06 2.214674e-05 5.738438e-06 4.298405e-05 3.031181e-06 6.221067e-05 8.187001e-06
T17-3019 1.825000e-03 3.535644e-05 6.730708e-06 3.952493e-05 1.073569e-05 5.684165e-05 8.915804e-06 7.101150e-05 6.863030e-06 1.201853e-04 6.146971e-06 1.985425e-04 4.059774e-06 2.605280e-04 9.422731e-06
T17-2999 1.825000e-03 7.479193e-06 3.739597e-06 1.359188e-05 6.795939e-06 2.870757e-05 9.168348e-06 2.772092e-05 7.147825e-06 3.677348e-05 5.760482e-06 1.227013e-04 3.028498e-06 2.191216e-04 8.348623e-06
T17-1425 1.825000e-03 9.229943e-06 4.299022e-06 9.078379e-07 4.539190e-07 1.124039e-05 5.620193e-06 1.601760e-05 6.148148e-06 1.747661e-05 5.136217e-06 4.322624e-05 2.831531e-06 5.967654e-05 6.961083e-06
